vendor,product,version
Schneider Electric,DriverManager x64,004.015.00000
Schneider Electric,PowerChute Serial Shutdown,1.0.0.301
Schneider Electric,Schneider Electric License Manager,2.5.0.0
Schneider Electric,Schneider Electric EcoStruxure Building Operation Device Administrator 2.0.4.83,2.0.4.83
Schneider Electric,DriverManager x64,004.022.00000
Schneider Electric,Schneider Electric Lexium 32 DTM Library,1.20.0100
Schneider Electric,HoistingLibrary,41.15.34104
Schneider Electric,OptimizedRepository,41.15.34303
Schneider Electric,Schneider Electric BME NOR DTM Library,3.0.22308.1
Schneider Electric,Advantys,8.1.0.0
Schneider Electric,ION Setup,3.1.19095.01
Schneider Electric,BillingModule_x86,11.0.0.0
Schneider Electric,Translations_de_x86,11.0.0.0
Schneider Electric,DataCenter.TemplateDiagrams_x86,11.0.0.0
Schneider Electric,Teams_x86,11.0.0.0
Schneider Electric,Schneider Electric BME NOR DTM Library,1.0.087
Schneider Electric,Lexium32C,1.09.0102
Schneider Electric,CoreRepositoryPatch1,41.15.04801
Schneider Electric,OPC,42.15.21901
OMRON,NB-Designer_v1.470,1.47.0420
OMRON,RVSXRay,2.2.1
OMRON,Sysmac Studio Version Upgrade Software 2022.07_0161,1.50.0000
OMRON,CX Common Components/CPS Version Upgrade Software 2020.10_0401,1.021.2010
OMRON,CX-FLnet Version Upgrade Software 2018.04_0401,1804.0401
OMRON,Sysmac Studio Version Upgrade Software 2018.07_0101,1.24.1000
OMRON,CX-Server Common Driver,5.0.20.2
OMRON,CX-One,1.12.0001
OMRON,CX-Server Common Driver,5.0.4.2
OMRON,Sysmac Studio HMI Manuals Version Upgrade Software 2020.07_0102,1.41.0000
OMRON,NetworkConfigurator Version Upgrade Software 2015.10_0401,1.00.0000
OMRON,Palette,1.10.0001
OMRON,NetworkConfigurator Version Upgrade Software 2021.01_0401,1.00.0000
OMRON,Industrial PC Rescue Disk Creator,1.1.1352.26319
OMRON,Windows 驱动程序包 - OMRON (NSX_CUSB) USB  (05/17/2010 1.0.5.0),05/17/2010 1.0.5.0
OMRON,PowerAct Pro(Master Agent),5.00
OMRON,CX-Integrator Version Upgrade Software  2010.02_0401,1002.0401.0001
OMRON,CX-Motion-MCH Version Upgrade Software 2016.10_0401,4.01.1610
OMRON,CX-Server Common Driver,5.0.19.2
OMRON,NB-Designer_v1.531,1.53.0525
Acronis,Acronis Backup 11.7 Agent for Windows,11.7.50230
Acronis,Acronis Backup,12.5.11010
Acronis,Acronis Backup & Recovery 10 Universal Restore,10.0.11133
Acronis,Acronis Backup 11.7 Tray Monitor,11.7.44409
Acronis,Acronis Original Configuration,15.0.5294
Acronis,Acronis Backup 11.7 Command-Line Tool,11.7.50073
Acronis,Acronis Cyber Backup,12.5.16545
Acronis,True Image 2013,16.0.5020
Acronis,Acronis Cyber Protect Home Office,27.5.40338
Acronis,Cyber Protect,15.0.29439
Acronis,Acronis True Image Home 2012,15.0.5545
Acronis,Acronis True Image OEM,20.0.5194
Acronis,Acronis True Image Home,9.0.3677
Acronis,Acronis Backup & Recovery 11.5 Agent Core,11.5.32308
Acronis,Acronis Drivers,27.0.39676
Acronis,Acronis Backup 11.7 Agent for Windows,11.7.44409
Acronis,Acronis Backup & Recovery 10 Bootable Components and Media Builder,10.0.11133
Acronis,Acronis Backup & Recovery 10 Standalone Management Console,10.0.12703
Acronis,Acronis Backup & Recovery 11 Management Console,11.0.17440
Acronis,Acronis Backup & Recovery 10 Agent,10.0.13762
ABB,ABB Mint HTTP Package,1.8.0
ABB,ABB Field Information Manager 2.1 (2.1.7816.0),2.1.7816.0
ABB,ABB S800 I/O DTM S-FP 5.3.1.0,5.3.4545.21063
ABB,ABB Control Builder M Professional 5.1.0/1,5.1.100.13
ABB,DTM TZIDC HART,05.01.04.44
ABB,ABB Inform IT - Application Scheduler 6.1.1-1,6.1.01100.40223
ABB,ABB MCS EventCollector Windows,1.6.02307.20010
ABB,ABB 800xA Instructions S-FP 5.1.4-1,5.1.5091.25981
ABB,DTM LLT100 HART,05.00.03.37
ABB,ABB SFCViewer 5.0.0/0,5.0.2454.24217
ABB,MS08-070 1.3 Installation for System 800xA,1.3.3896.24472
ABB,"ABB PC, Network and Software Monitoring 5.1.0-2",5.1.4494.32572
ABB,ABB DTM S900-DP S-FP 3.0,3.0.5
ABB,ABB Central Licensing System Extension 5.1.0-2,5.1.4532.18176
ABB,ABB Engineering Studio for AC800M Connect 6.0.0-3,6.0.04000.1150
ABB,ABB Bulk Data Manager2.0 6.1.1-1,6.1.1100.2137
ABB,ABB Smart Client 2.2,2.2.04200.37
ABB,Engineering_Tools,2.4.9.0
ABB,ABB TuneMaster,6.11.0151
ABB,ABB Pluto Manager,2.34.2
Siemens,SIMATIC ES Common Services,09.00.0701
Siemens,SIMATIC IPC Image Creator Version 3.2,3.02.0001
Siemens,SimoComA,05.03.02
Siemens,PLC Symbols Generator,01.06.0005
Siemens,SIMATIC SFC-Visualization,09.00.0400
Siemens,SISTORE MX Control,2.60.1
Siemens,WinCC Advanced Process Control,07.04.0100
Siemens,SIMATIC S7-200 Documentation,1.00.000
Siemens,PCS 7 Basis Faceplates,08.02.0000
Siemens,WinCC Basic Process Control,07.02.0001
Siemens,PCS 7 Advanced Faceplates,09.00.0302
Siemens,WinCC Advanced Process Control,07.04.0114
Siemens,WinCC Advanced Process Control,07.05.0211
Siemens,WinCC Basic Process Control,07.05.0200
Siemens,WinCC Basic Process Control,07.04.0115
Siemens,WinCC Advanced Process Control,07.05.0217
Siemens,SIMATIC IPC Image Creator Version 3.5,3.05.0003
